# phi  mean_FES(kJ/mol)  stderr(kJ/mol)
-3.141593 15.494001 0.294082
-3.018393 9.776577 0.292032
-2.895193 5.601215 0.187976
-2.771994 3.030702 0.059289
-2.648794 1.888022 0.078901
-2.525594 1.843090 0.130885
-2.402394 2.498889 0.133877
-2.279195 3.473759 0.119375
-2.155995 4.440280 0.119796
-2.032795 5.137674 0.119261
-1.909596 5.314289 0.093797
-1.786396 4.658253 0.066433
-1.663196 3.081586 0.054887
-1.539996 1.210544 0.031720
-1.416797 0.000587 0.000525
-1.293597 0.125544 0.030302
-1.170397 1.835589 0.057217
-1.047198 4.988500 0.085698
-0.923998 9.191349 0.123324
-0.800798 14.025409 0.160516
-0.677598 19.123080 0.180034
-0.554399 24.098697 0.199868
-0.431199 28.542826 0.267728
-0.307999 32.058830 0.369505
-0.184800 34.317915 0.440468
-0.061600 35.165082 0.441402
0.061600 34.602620 0.374325
0.184800 32.699244 0.269722
0.307999 29.571725 0.192143
0.431199 25.418622 0.220186
0.554399 20.580471 0.302317
0.677598 15.564557 0.377539
0.800798 11.024416 0.443587
0.923998 7.755089 0.518971
1.047198 6.617578 0.605052
1.170397 8.233753 0.661749
1.293597 12.661487 0.616993
1.416797 19.315369 0.416829
1.539996 27.147649 0.319194
1.663196 34.974334 0.889030
1.786396 41.770350 1.678636
1.909596 46.855136 2.449689
2.032795 49.990578 3.016559
2.155995 51.389483 3.282528
2.279195 51.401478 3.256636
2.402394 50.114116 2.956851
2.525594 47.332627 2.401132
2.648794 42.872583 1.676653
2.771994 36.849862 0.947586
2.895193 29.763686 0.374917
3.018393 22.375639 0.179226
