# phi  FES(kJ/mol)
-3.141593 14.495587
-3.099705 12.427950
-3.057817 10.553725
-3.015929 8.879145
-2.974041 7.406397
-2.932153 6.133262
-2.890265 5.052590
-2.848377 4.155579
-2.806489 3.431859
-2.764602 2.868807
-2.722714 2.452562
-2.680826 2.167927
-2.638938 2.000384
-2.597050 1.935436
-2.555162 1.958455
-2.513274 2.054666
-2.471386 2.210553
-2.429498 2.413821
-2.387610 2.653054
-2.345723 2.917510
-2.303835 3.197368
-2.261947 3.483334
-2.220059 3.767938
-2.178171 4.043259
-2.136283 4.302632
-2.094395 4.539016
-2.052507 4.745022
-2.010619 4.911325
-1.968731 5.026410
-1.926843 5.076479
-1.884956 5.043852
-1.843068 4.910810
-1.801180 4.663205
-1.759292 4.296045
-1.717404 3.817620
-1.675516 3.251428
-1.633628 2.632656
-1.591740 2.003010
-1.549852 1.404473
-1.507964 0.874924
-1.466077 0.447362
-1.424189 0.148476
-1.382301 0.000000
-1.340413 0.017239
-1.298525 0.209699
-1.256637 0.581745
-1.214749 1.131845
-1.172861 1.853643
-1.130973 2.736251
-1.089085 3.765285
-1.047198 4.924241
-1.005310 6.195785
-0.963422 7.563544
-0.921534 9.013657
-0.879646 10.533592
-0.837758 12.112878
-0.795870 13.741742
-0.753982 15.409974
-0.712094 17.106298
-0.670206 18.817461
-0.628319 20.528845
-0.586431 22.224445
-0.544543 23.887421
-0.502655 25.500431
-0.460767 27.045381
-0.418879 28.503863
-0.376991 29.857174
-0.335103 31.086758
-0.293215 32.175677
-0.251327 33.108613
-0.209440 33.874675
-0.167552 34.465723
-0.125664 34.877698
-0.083776 35.109205
-0.041888 35.161467
-0.000000 35.037255
0.041888 34.740618
0.083776 34.277014
0.125664 33.652196
0.167552 32.872740
0.209440 31.946675
0.251327 30.881472
0.293215 29.685382
0.335103 28.369524
0.376991 26.946075
0.418879 25.428762
0.460767 23.833195
0.502655 22.176419
0.544543 20.478627
0.586431 18.760444
0.628319 17.043910
0.670206 15.352200
0.712094 13.709161
0.753982 12.139814
0.795870 10.670270
0.837758 9.329422
0.879646 8.148286
0.921534 7.159989
0.963422 6.398099
1.005310 5.895600
1.047198 5.682246
1.089085 5.782761
1.130973 6.215629
1.172861 6.991245
1.214749 8.112185
1.256637 9.572308
1.298525 11.357721
1.340413 13.446097
1.382301 15.808229
1.424189 18.409022
1.466077 21.208750
1.507964 24.165022
1.549852 27.232057
1.591740 30.363674
1.633628 33.513344
1.675516 36.634649
1.717404 39.682578
1.759292 42.614720
1.801180 45.390732
1.843068 47.972725
1.884956 50.326530
1.926843 52.422876
1.968731 54.239408
2.010619 55.761144
2.052507 56.983424
2.094395 57.910502
2.136283 58.552373
2.178171 58.920931
2.220059 59.027116
2.261947 58.878029
2.303835 58.475756
2.345723 57.819765
2.387610 56.908486
2.429498 55.741645
2.471386 54.323225
2.513274 52.660226
2.555162 50.765446
2.597050 48.655926
2.638938 46.352327
2.680826 43.878222
2.722714 41.261780
2.764602 38.533872
2.806489 35.727146
2.848377 32.876334
2.890265 30.015951
2.932153 27.181329
2.974041 24.407071
3.015929 21.724471
3.057817 19.162254
3.099705 16.745651
