# HLDA  FES(kJ/mol)
0.198502 66.624009
0.216686 61.375494
0.234870 60.922620
0.253054 58.048467
0.271238 55.364132
0.289421 44.555152
0.307605 41.813906
0.325789 38.142780
0.343973 35.876854
0.362157 33.904181
0.380341 33.035851
0.398525 31.297953
0.416709 31.214847
0.434893 30.770114
0.453077 32.532902
0.471260 30.239503
0.489444 28.123275
0.507628 28.572497
0.525812 28.262727
0.543996 28.647427
0.562180 29.072928
0.580364 28.622805
0.598548 28.971724
0.616732 29.467417
0.634916 29.985092
0.653099 29.780703
0.671283 29.186350
0.689467 30.178664
0.707651 30.347358
0.725835 30.173888
0.744019 30.151074
0.762203 30.413180
0.780387 32.213383
0.798571 30.971332
0.816755 32.767476
0.834938 31.940569
0.853122 32.051713
0.871306 32.480593
0.889490 32.068329
0.907674 33.475848
0.925858 30.351818
0.944042 28.369876
0.962226 26.039262
0.980410 23.482582
0.998594 25.470734
1.016777 23.743243
1.034961 27.523929
1.053145 27.285190
1.071329 26.460661
1.089513 28.794913
1.107697 27.064899
1.125881 28.585175
1.144065 29.091042
1.162249 27.339569
1.180433 27.003935
1.198616 25.894650
1.216800 26.603861
1.234984 26.635223
1.253168 24.339747
1.271352 23.121246
1.289536 23.249466
1.307720 20.030866
1.325904 19.996920
1.344088 19.583317
1.362272 18.089568
1.380455 17.266758
1.398639 16.400325
1.416823 14.427572
1.435007 12.049364
1.453191 12.415718
1.471375 10.436371
1.489559 8.582491
1.507743 7.858981
1.525927 5.451856
1.544111 3.723055
1.562294 2.189286
1.580478 0.302148
1.598662 0.000000
1.616846 1.123897
1.635030 6.883521
