timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/02/15 14:50:50.587, 7 %, 1 %, 28.20 W, 521 MiB
2026/02/15 14:50:52.589, 5 %, 1 %, 28.16 W, 520 MiB
2026/02/15 14:50:54.590, 6 %, 1 %, 28.22 W, 559 MiB
2026/02/15 14:50:56.590, 78 %, 1 %, 47.10 W, 602 MiB
2026/02/15 14:50:58.590, 84 %, 2 %, 48.69 W, 654 MiB
2026/02/15 14:51:00.590, 84 %, 2 %, 48.77 W, 656 MiB
2026/02/15 14:51:02.590, 82 %, 2 %, 48.51 W, 656 MiB
2026/02/15 14:51:04.591, 84 %, 2 %, 48.63 W, 656 MiB
2026/02/15 14:51:06.591, 84 %, 2 %, 49.12 W, 656 MiB
2026/02/15 14:51:08.591, 84 %, 2 %, 48.97 W, 656 MiB
2026/02/15 14:51:10.591, 85 %, 2 %, 49.24 W, 656 MiB
2026/02/15 14:51:12.591, 83 %, 2 %, 49.17 W, 656 MiB
2026/02/15 14:51:14.592, 83 %, 2 %, 49.15 W, 656 MiB
2026/02/15 14:51:16.592, 74 %, 2 %, 49.18 W, 656 MiB
2026/02/15 14:51:18.592, 79 %, 2 %, 48.83 W, 656 MiB
2026/02/15 14:51:20.592, 80 %, 2 %, 49.06 W, 656 MiB
2026/02/15 14:51:22.592, 80 %, 2 %, 48.94 W, 656 MiB
2026/02/15 14:51:24.593, 80 %, 2 %, 48.96 W, 656 MiB
2026/02/15 14:51:26.593, 83 %, 2 %, 49.20 W, 656 MiB
2026/02/15 14:51:28.593, 76 %, 2 %, 49.33 W, 656 MiB
2026/02/15 14:51:30.593, 79 %, 2 %, 49.25 W, 656 MiB
2026/02/15 14:51:32.593, 78 %, 2 %, 49.15 W, 656 MiB
2026/02/15 14:51:34.594, 79 %, 2 %, 49.22 W, 656 MiB
2026/02/15 14:51:36.594, 86 %, 2 %, 49.23 W, 656 MiB
2026/02/15 14:51:38.594, 77 %, 2 %, 48.95 W, 656 MiB
2026/02/15 14:51:40.594, 82 %, 2 %, 49.42 W, 670 MiB
2026/02/15 14:51:42.594, 82 %, 2 %, 49.52 W, 673 MiB
2026/02/15 14:51:44.595, 82 %, 2 %, 49.60 W, 671 MiB
2026/02/15 14:51:46.595, 80 %, 2 %, 49.67 W, 671 MiB
2026/02/15 14:51:48.595, 76 %, 2 %, 49.51 W, 665 MiB
2026/02/15 14:51:50.595, 74 %, 2 %, 49.27 W, 665 MiB
2026/02/15 14:51:52.595, 77 %, 2 %, 49.21 W, 665 MiB
2026/02/15 14:51:54.596, 78 %, 2 %, 49.16 W, 665 MiB
2026/02/15 14:51:56.596, 81 %, 2 %, 49.33 W, 665 MiB
2026/02/15 14:51:58.596, 77 %, 2 %, 49.19 W, 665 MiB
2026/02/15 14:52:00.596, 71 %, 2 %, 49.15 W, 665 MiB
2026/02/15 14:52:02.596, 77 %, 2 %, 49.46 W, 665 MiB
2026/02/15 14:52:04.597, 86 %, 2 %, 49.53 W, 665 MiB
2026/02/15 14:52:06.597, 84 %, 2 %, 49.63 W, 665 MiB
2026/02/15 14:52:08.597, 82 %, 2 %, 49.99 W, 665 MiB
2026/02/15 14:52:10.597, 76 %, 2 %, 49.56 W, 665 MiB
2026/02/15 14:52:12.597, 86 %, 2 %, 49.73 W, 665 MiB
2026/02/15 14:52:14.598, 85 %, 2 %, 49.45 W, 665 MiB
2026/02/15 14:52:16.598, 73 %, 2 %, 49.62 W, 665 MiB
2026/02/15 14:52:18.598, 77 %, 2 %, 49.67 W, 665 MiB
2026/02/15 14:52:20.598, 77 %, 2 %, 49.32 W, 665 MiB
2026/02/15 14:52:22.599, 69 %, 2 %, 49.97 W, 670 MiB
2026/02/15 14:52:24.599, 84 %, 2 %, 49.71 W, 674 MiB
2026/02/15 14:52:26.599, 82 %, 2 %, 50.05 W, 671 MiB
2026/02/15 14:52:28.599, 78 %, 2 %, 49.85 W, 671 MiB
2026/02/15 14:52:30.599, 84 %, 2 %, 49.90 W, 665 MiB
2026/02/15 14:52:32.600, 86 %, 2 %, 49.98 W, 665 MiB
2026/02/15 14:52:34.600, 76 %, 2 %, 49.92 W, 665 MiB
2026/02/15 14:52:36.600, 81 %, 2 %, 50.08 W, 665 MiB
2026/02/15 14:52:38.600, 80 %, 2 %, 49.96 W, 665 MiB
2026/02/15 14:52:40.600, 82 %, 2 %, 50.03 W, 665 MiB
2026/02/15 14:52:42.601, 85 %, 2 %, 50.24 W, 665 MiB
2026/02/15 14:52:44.601, 84 %, 2 %, 50.14 W, 665 MiB
2026/02/15 14:52:46.601, 83 %, 2 %, 50.15 W, 665 MiB
2026/02/15 14:52:48.601, 84 %, 2 %, 50.22 W, 665 MiB
2026/02/15 14:52:50.602, 77 %, 2 %, 50.19 W, 665 MiB
2026/02/15 14:52:52.602, 83 %, 2 %, 50.17 W, 665 MiB
2026/02/15 14:52:54.602, 72 %, 2 %, 49.92 W, 665 MiB
2026/02/15 14:52:56.602, 86 %, 2 %, 50.11 W, 665 MiB
2026/02/15 14:52:58.602, 74 %, 2 %, 50.08 W, 665 MiB
2026/02/15 14:53:00.603, 81 %, 2 %, 49.95 W, 665 MiB
2026/02/15 14:53:02.603, 81 %, 2 %, 49.87 W, 665 MiB
2026/02/15 14:53:04.603, 81 %, 2 %, 49.98 W, 665 MiB
2026/02/15 14:53:06.603, 81 %, 2 %, 50.23 W, 665 MiB
2026/02/15 14:53:08.603, 83 %, 2 %, 50.24 W, 665 MiB
2026/02/15 14:53:10.604, 78 %, 2 %, 49.88 W, 665 MiB
2026/02/15 14:53:12.604, 79 %, 2 %, 49.90 W, 665 MiB
2026/02/15 14:53:14.604, 80 %, 2 %, 50.18 W, 665 MiB
2026/02/15 14:53:16.604, 84 %, 2 %, 50.40 W, 665 MiB
2026/02/15 14:53:18.604, 85 %, 2 %, 50.12 W, 653 MiB
2026/02/15 14:53:20.604, 74 %, 2 %, 50.01 W, 653 MiB
2026/02/15 14:53:22.605, 79 %, 2 %, 50.51 W, 653 MiB
2026/02/15 14:53:24.605, 84 %, 2 %, 50.46 W, 653 MiB
2026/02/15 14:53:26.605, 81 %, 2 %, 50.10 W, 653 MiB
2026/02/15 14:53:28.605, 86 %, 2 %, 50.58 W, 653 MiB
2026/02/15 14:53:30.605, 81 %, 2 %, 50.51 W, 653 MiB
2026/02/15 14:53:32.606, 82 %, 2 %, 50.35 W, 653 MiB
2026/02/15 14:53:34.606, 79 %, 2 %, 50.50 W, 653 MiB
2026/02/15 14:53:36.606, 83 %, 2 %, 50.14 W, 653 MiB
2026/02/15 14:53:38.606, 76 %, 2 %, 50.07 W, 653 MiB
2026/02/15 14:53:40.606, 78 %, 2 %, 50.27 W, 653 MiB
2026/02/15 14:53:42.606, 76 %, 2 %, 50.46 W, 653 MiB
2026/02/15 14:53:44.607, 81 %, 2 %, 50.59 W, 653 MiB
2026/02/15 14:53:46.607, 72 %, 2 %, 50.47 W, 653 MiB
2026/02/15 14:53:48.607, 77 %, 2 %, 50.67 W, 653 MiB
2026/02/15 14:53:50.607, 81 %, 2 %, 50.83 W, 653 MiB
2026/02/15 14:53:52.607, 79 %, 2 %, 50.48 W, 653 MiB
2026/02/15 14:53:54.608, 76 %, 2 %, 50.63 W, 653 MiB
2026/02/15 14:53:56.608, 80 %, 2 %, 50.40 W, 653 MiB
2026/02/15 14:53:58.608, 87 %, 2 %, 50.68 W, 653 MiB
2026/02/15 14:54:00.608, 74 %, 2 %, 50.34 W, 653 MiB
2026/02/15 14:54:02.608, 75 %, 2 %, 50.24 W, 653 MiB
2026/02/15 14:54:04.608, 78 %, 2 %, 50.12 W, 653 MiB
2026/02/15 14:54:06.609, 80 %, 2 %, 50.13 W, 653 MiB
2026/02/15 14:54:08.609, 84 %, 2 %, 50.38 W, 653 MiB
2026/02/15 14:54:10.609, 78 %, 2 %, 50.29 W, 653 MiB
2026/02/15 14:54:12.609, 82 %, 2 %, 50.07 W, 653 MiB
2026/02/15 14:54:14.609, 82 %, 2 %, 50.20 W, 653 MiB
2026/02/15 14:54:16.610, 75 %, 2 %, 50.41 W, 653 MiB
2026/02/15 14:54:18.610, 84 %, 2 %, 50.63 W, 653 MiB
2026/02/15 14:54:20.610, 83 %, 2 %, 50.25 W, 653 MiB
