timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/02/15 19:54:58.934, 2 %, 0 %, 30.00 W, 534 MiB
2026/02/15 19:55:00.936, 99 %, 28 %, 70.24 W, 1067 MiB
2026/02/15 19:55:02.937, 99 %, 28 %, 87.81 W, 1069 MiB
2026/02/15 19:55:04.937, 99 %, 28 %, 87.88 W, 1070 MiB
2026/02/15 19:55:06.937, 99 %, 30 %, 87.81 W, 1070 MiB
2026/02/15 19:55:08.937, 99 %, 29 %, 87.79 W, 1067 MiB
2026/02/15 19:55:10.938, 99 %, 29 %, 87.67 W, 1057 MiB
2026/02/15 19:55:12.938, 99 %, 29 %, 87.76 W, 1056 MiB
2026/02/15 19:55:14.938, 99 %, 28 %, 87.84 W, 1056 MiB
2026/02/15 19:55:16.938, 99 %, 28 %, 88.00 W, 1056 MiB
2026/02/15 19:55:18.938, 99 %, 28 %, 88.21 W, 1065 MiB
2026/02/15 19:55:20.939, 99 %, 29 %, 88.36 W, 1061 MiB
2026/02/15 19:55:22.939, 99 %, 29 %, 88.47 W, 1063 MiB
2026/02/15 19:55:24.939, 99 %, 31 %, 88.40 W, 1060 MiB
2026/02/15 19:55:26.939, 99 %, 29 %, 88.39 W, 1065 MiB
2026/02/15 19:55:28.940, 99 %, 29 %, 88.25 W, 1062 MiB
2026/02/15 19:55:30.940, 99 %, 28 %, 88.31 W, 1063 MiB
2026/02/15 19:55:32.940, 99 %, 28 %, 88.39 W, 1059 MiB
2026/02/15 19:55:34.940, 99 %, 28 %, 88.57 W, 1061 MiB
2026/02/15 19:55:36.940, 99 %, 28 %, 89.48 W, 1060 MiB
2026/02/15 19:55:38.941, 99 %, 28 %, 89.19 W, 1056 MiB
2026/02/15 19:55:40.941, 99 %, 28 %, 89.08 W, 1048 MiB
2026/02/15 19:55:42.941, 99 %, 31 %, 88.91 W, 1048 MiB
2026/02/15 19:55:44.941, 99 %, 29 %, 88.44 W, 1048 MiB
2026/02/15 19:55:46.942, 99 %, 29 %, 88.28 W, 1048 MiB
2026/02/15 19:55:48.942, 99 %, 29 %, 88.03 W, 1048 MiB
2026/02/15 19:55:50.942, 99 %, 28 %, 87.88 W, 1048 MiB
2026/02/15 19:55:52.942, 99 %, 29 %, 87.88 W, 1048 MiB
2026/02/15 19:55:54.942, 99 %, 28 %, 87.94 W, 1048 MiB
2026/02/15 19:55:56.943, 99 %, 28 %, 87.88 W, 1048 MiB
2026/02/15 19:55:58.943, 99 %, 29 %, 87.73 W, 1045 MiB
2026/02/15 19:56:00.943, 99 %, 30 %, 87.43 W, 1045 MiB
2026/02/15 19:56:02.943, 99 %, 29 %, 87.26 W, 1045 MiB
2026/02/15 19:56:04.944, 99 %, 29 %, 87.06 W, 1045 MiB
2026/02/15 19:56:06.944, 99 %, 28 %, 87.00 W, 1054 MiB
2026/02/15 19:56:08.944, 6 %, 1 %, 41.72 W, 1052 MiB
2026/02/15 19:56:10.944, 99 %, 28 %, 82.07 W, 1054 MiB
2026/02/15 19:56:12.945, 99 %, 28 %, 86.77 W, 1053 MiB
2026/02/15 19:56:14.945, 99 %, 28 %, 86.77 W, 1057 MiB
2026/02/15 19:56:16.945, 99 %, 28 %, 86.81 W, 1055 MiB
2026/02/15 19:56:18.945, 99 %, 28 %, 86.71 W, 1057 MiB
2026/02/15 19:56:20.945, 99 %, 30 %, 86.62 W, 1053 MiB
2026/02/15 19:56:22.946, 99 %, 29 %, 86.42 W, 1052 MiB
